right,feel,word,look,need,thought,friend,tell,kind,put,question,job,hard,talk,hand,fact,mean,course,point,asked
com,www,web,information,newspaper,daily,question,telegram,syndicate,american,fax,texas,beach,palm,statesman,sport,today,visit,austin,washington
united_states,government,country,china,american,countries,u_s,political,foreign,nation,leader,european,american,mexico,international,power,russia,chinese,europe,trade
palestinian,israel,taliban,war,afghanistan,leader,official,government,peace,israeli,attack,military,group,pakistan,israeli,soldier,yasser_arafat,troop,forces,killed
car,home,room,building,family,house,town,night,hour,place,street,hotel,new_york,children,door,floor,trip,area,friend,small
bush,campaign,george_bush,al_gore,president,election,republican,political,white_house,vote,democratic,clinton,voter,presidential,senate,republican,democrat,governor,votes,ballot
book,women,art,author,collection,new_york,magazine,artist,century,writer,history,painting,look,fashion,show,woman,designer,published,writing,museum
drug,patient,women,doctor,children,medical,disease,cell,health,hospital,care,cancer,study,research,child,treatment,percent,test,blood,found
run,season,game,inning,hit,team,yankees,player,baseball,games,pitcher,manager,home,dodger,red_sox,right,ball,met,pitch,left
race,church,won,olympic,priest,racing,religious,medal,team,sport,win,fight,event,black,car,track,driver,games,gold,black
court,case,law,lawyer,police,official,death,federal,trial,attorney,investigation,officer,judge,legal,cases,prosecutor,told,government,charges,prison
company,million,companies,stock,business,market,firm,deal,analyst,percent,enron,executive,billion,chief,executives,investor,financial,industry,sales,investment
team,game,season,player,play,point,coach,games,win,shot,yard,played,playing,won,goal,final,ball,left,football,guy
school,student,program,group,million,official,public,member,law,plan,bill,money,director,federal,job,organization,president,need,government,worker
attack,official,terrorist,military,security,u_s,bush,american,weapon,flight,united_states,pentagon,war,anthrax,plane,terrorism,washington,nuclear,airport,administration
percent,tax,economy,market,cut,cost,billion,money,million,prices,economic,rate,pay,plan,rates,spending,income,growth,government,increase
computer,web,site,internet,system,company,mail,online,technology,internet,com,information,microsoft,software,customer,sites,product,companies,user,consumer
cup,food,minutes,add,tablespoon,oil,wine,pepper,sugar,water,teaspoon,fat,chicken,restaurant,taste,butter,cream,cooking,fresh,large
water,plant,scientist,air,animal,power,land,million,fish,energy,gas,environmental,human,light,bird,found,weather,species,part,natural
film,show,movie,music,play,character,song,actor,director,movies,series,television,hollywood,producer,band,audience,set,theater,album,musical
